"","qnum","quest"
"1",50,"What word(s) do you use to address a group of two or more people?"
"2",51,"Would you say 'Are you coming with?' as a full sentence, to mean 'Are you coming with us?'"
"3",52,"Would you say 'where are you at?' to mean 'where are you?'"
"4",53,"Modals are words like 'can,' 'could,' 'might,' 'ought to,' and so on. Can you use more than one modal at a time? (e.g., 'I might could do that' to mean 'I might be able to do that'; or 'I used to could do that' to mean 'I used to be able to do that')"
"5",54,"He used to nap on the couch, but he sprawls out in that new lounge chair anymore"
"6",55,"I do exclusively figurative paintings anymore"
"7",56,"Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it."
"8",57,"Forget the nice clothes anymore (referring to babies eating messily after a certain age)"
"9",58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?"
"10",59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?"
"11",60,"What do you call the area of grass between the sidewalk and the road?"
"12",61,"What do you call the area of grass that occurs in the middle of some streets?"
"13",62,"What do you call the long narrow place in the middle of a divided highway?"
"14",63,"What do you call the drink made with milk and ice cream?"
"15",64,"What do you call the long sandwich that contains cold cuts, lettuce, and so on?"
"16",65,"What do you call the insect that flies around in the summer and has a rear section that glows in the dark?"
"17",66,"What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?"
"18",67,"What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?"
"19",68,"What nicknames do/did you use for your maternal grandmother?"
"20",69,"What about your paternal grandmother (is there a distinction?)"
"21",70,"What do/did you call your maternal grandfather?"
"22",71,"paternal grandfather?"
"23",72,"What do you call the big clumps of dust that gather under furniture and in corners?"
"24",73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?"
"25",74,"What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?"
"26",75,"What do you call the wheeled contraption in which you carry groceries at the supermarket?"
"27",76,"What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?"
"28",77,"What do you call the activity of driving around in circles in a car?"
"29",78,"What do you call paper that has already been used for something or is otherwise imperfect?"
"30",79,"What is your *general* term for a big road that you drive relatively fast on?"
"31",80,"What do you call it when rain falls while the sun is shining?"
"32",81,"When you are cold, and little points of skin begin to come on your arms and legs, you have-"
"33",82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?"
"34",83,"What do you call an easy course?"
"35",84,"What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?"
"36",85,"What is the thing that women use to tie their hair?"
"37",86,"Do you use the word cruller?"
"38",87,"Do you use the term 'bear claw' for a kind of pastry?"
"39",88,"What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?"
"40",89,"Can you call coleslaw 'slaw'?"
"41",90,"What do you call the box you bury a dead person in?"
"42",91,"Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?"
"43",92,"What do you call it when a driver changes over one or more lanes way too quickly?"
"44",93,"When you stand outside with a long line of people waiting to get in somewhere, are you standing 'in line' or 'on line' (as in, 'I stood ___ in the cold for two hours before they opened the doors')?"
"45",94,"Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?"
"46",95,"What is 'the City'?"
"47",96,"What is the distinction between dinner and supper?"
"48",97,"Which of these terms do you prefer?"
"49",98,"Which of these terms do you prefer?"
"50",99,"Which of these terms do you prefer for the small road parallel to the highway?"
"51",100,"Do you cut or mow the lawn or grass?"
"52",101,"Do you pass in homework or hand in homework?"
"53",102,"What do you call the insect that looks like a large thin spider and skitters along the top of water?"
"54",103,"What do you call the thing from which you might drink water in a school?"
"55",104,"What do you call a public railway system (normally underground)?"
"56",105,"What is your generic term for a sweetened carbonated beverage?"
"57",106,"What do you call the act of covering a house or area in front of a house with toilet paper?"
"58",107,"What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?"
"59",109,"What do you call the paper container in which you might bring home items you bought at the store?"
"60",110,"What do you call the night before Halloween?"
"61",111,"What do you call the end of a loaf of bread?"
"62",115,"What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?"
"63",117,"What do you call the level of a building that is partly or entirely underground?"
"64",118,"What do you call a drive-through liquor store?"
"65",119,"What do you call food that you buy at a restaurant but then eat at home?"
"66",120,"What do you say when you want to lay claim to the front seat of a car?"
"67",121,"What word do you use for gawking at someone in a lustful way?"
